ID;time;temperature_2m (・・C);relative_humidity_2m (%);dew_point_2m (・・C);apparent_temperature (・・C);precipitation (mm);pressure_msl (hPa);surface_pressure (hPa);cloud_cover (%);cloud_cover_low (%);cloud_cover_mid (%);cloud_cover_high (%);vapour_pressure_deficit (kPa);wind_speed_10m (km/h);wind_speed_100m (km/h);wind_direction_10m (・・);wind_direction_100m (・・);wind_gusts_10m (km/h);soil_temperature_0_to_7cm (・・C);soil_temperature_7_to_28cm (・・C);soil_temperature_28_to_100cm (・・C);soil_temperature_100_to_255cm (・・C);soil_moisture_0_to_7cm (m?/m?);soil_moisture_7_to_28cm (m?/m?);soil_moisture_28_to_100cm (m?/m?);soil_moisture_100_to_255cm (m?/m?);shortwave_radiation (W/m?);direct_radiation (W/m?);diffuse_radiation (W/m?);direct_normal_irradiance (W/m?);global_tilted_irradiance (W/m?);terrestrial_radiation (W/m?);is_day ();sunshine_duration (s);electricity_shutdown
1;2022-01-01T00:00;#N/A;91;20,7;25,7;0,1;1011,4;987,2;52;3;32;100;#N/A;5,3;10,9;298;278;16,6;23,8;25,5;25,5;25,4;0,272;0,278;0,269;0,323;0;0;0;0;0;0;0;0;0
2;2022-01-01T01:00;22,2;89;20,3;25,5;0;1010,9;986,7;#N/A;#N/A;17;100;0,29;5,3;12,7;298;295;8,3;23,4;25,3;25,5;25,4;0,271;0,278;0,269;0,323;0;0;0;0;0;0;0;0;0
3;2022-01-01T02:00;#N/A;87;20,2;25,4;0;1010;985,8;42;7;10;100;0,37;7,6;16,8;315;315;13;23,2;25,1;25,5;25,4;0,271;0,278;0,269;0,323;0;0;0;0;0;0;0;0;0
4;2022-01-01T03:00;22,5;86;20,1;25,1;0;1010;985,8;43;8;9;100;0,38;#N/A;19,4;320;313;15,1;23,1;25;25,5;25,4;0,27;0,277;0,268;0,323;0;0;0;0;0;0;0;0;0
5;2022-01-01T04:00;22,7;84;19,9;25,6;0;1009,8;985,7;#N/A;13;10;100;0,43;6,4;16,1;308;312;18;23;24,8;25,5;25,4;0,27;0,277;#N/A;0,323;0;0;0;0;0;#N/A;0;0;0
6;2022-01-01T05:00;22,4;86;19,9;25,4;0;1010,2;986;50;9;19;100;0,39;#N/A;13,8;#N/A;321;10,4;22,9;24,7;25,5;25,4;0,269;0,277;0,268;0,323;0;0;0;0;0;0;0;0;0
7;2022-01-01T06:00;22,9;85;20,2;25,8;0;1010,9;986,8;48;#N/A;10;100;0,42;#N/A;13,8;#N/A;313;10,4;22,8;24,6;25,5;25,4;0,269;0,277;0,268;0,323;13;1;12;10,1;13;77,9;1;#N/A;0
8;2022-01-01T07:00;25;81;21,4;28,4;0;1011;987;38;4;7;100;0,61;8,4;13,8;310;311;17,6;24;24,5;25,5;25,4;0,267;0,276;0,267;0,323;153;69;84;285,1;153;342,4;1;3600;0
9;2022-01-01T08:00;#N/A;77;21,8;29,7;0;1011,4;#N/A;41;10;3;100;#N/A;9,3;12,6;306;307;19,4;25,2;24,6;25,5;25,4;0,265;0,275;0,267;0,323;373;257;116;551,8;373;658,8;1;3600;#N/A
10;2022-01-01T09:00;#N/A;74;22,4;31,2;0;1011,5;987,7;#N/A;8;4;100;0,95;#N/A;15,6;#N/A;293;24,8;26,5;24,7;25,5;25,4;0,263;0,274;0,266;0,323;619;484;135;731,9;619;935,4;1;3600;0
