iter	RMSE
0	1.182928893
1	1.137311205
2	1.09089201
3	1.046689486
4	1.004460142
5	0.9655744139
6	0.9288061707
7	0.8951894579
8	0.8618140102
9	0.8304541371
10	0.8022514624
11	0.7751885859
12	0.7483469684
13	0.7230629141
14	0.6985396268
15	0.6771585986
16	0.6550483674
17	0.6334454587
18	0.614347012
19	0.5978104472
20	0.5803944814
21	0.5634141055
22	0.5468896178
23	0.5321027193
24	0.5173379333
25	0.503571288
26	0.4908489366
27	0.4786703784
28	0.4675010251
29	0.4559070237
30	0.4460321867
31	0.4363568348
32	0.4262527393
33	0.4174812519
34	0.4094774599
35	0.4012976421
36	0.3946422871
37	0.3869976838
38	0.3790828715
39	0.3721324323
40	0.3662320795
41	0.3588519626
42	0.3534099682
43	0.3485503661
44	0.3427637037
45	0.3367750422
46	0.3320146362
47	0.3274365335
48	0.3230963772
49	0.3188406847
50	0.3152506253
51	0.3115157776
52	0.3079859774
53	0.3050016981
54	0.3019493238
55	0.2987787871
56	0.295450551
57	0.2927445167
58	0.2906129677
59	0.2873178472
60	0.2846710725
61	0.282773729
62	0.2806378629
63	0.2785931619
64	0.2761341591
65	0.274407414
66	0.2726346986
67	0.2711408988
68	0.2695357419
69	0.2676522672
70	0.2659178448
71	0.264453823
72	0.2629518677
73	0.2616504454
74	0.2611409803
75	0.2597025511
76	0.2586484637
77	0.2570252477
78	0.2559205858
79	0.2546474749
80	0.253704312
81	0.2525177248
82	0.2511898194
83	0.2506861875
84	0.2500078588
85	0.2485749083
86	0.2479468257
87	0.2466486148
88	0.2455618346
89	0.2444459232
90	0.2434114616
91	0.242315734
92	0.2411924191
93	0.2404990959
94	0.2399355303
95	0.2381734135
96	0.2379635967
97	0.2372037182
98	0.2364673763
99	0.2351508361
100	0.2343617655
101	0.2337350805
102	0.2326121669
103	0.2319345275
104	0.2312625719
105	0.2302787974
106	0.2297265003
107	0.2290765247
108	0.2278622363
109	0.2272218584
110	0.226631846
111	0.2261836065
112	0.2252856811
113	0.2244687159
114	0.2240242165
115	0.2235665789
116	0.2226634622
117	0.2222101938
118	0.2212287018
119	0.2205350793
120	0.2198174762
121	0.2188261019
122	0.2180096612
123	0.2169529612
124	0.2166219363
125	0.2159929249
126	0.2153009486
127	0.214701966
128	0.214258886
129	0.2134676729
130	0.2125917025
131	0.2121509795
132	0.2108132597
133	0.2102392912
134	0.2090927543
135	0.208014895
136	0.2077160152
137	0.2070478307
138	0.2058813156
139	0.2052870219
140	0.2049502402
141	0.2045887662
142	0.2039656669
143	0.2029093927
144	0.2024016875
145	0.2018701592
146	0.2012766855
147	0.2007819555
148	0.2004553441
149	0.1997994287
150	0.1989103214
151	0.1986350849
152	0.1982158291
153	0.1976661779
154	0.1969914813
155	0.196178608
156	0.1953274319
157	0.1950404177
158	0.1940630032
159	0.1936106024
160	0.1930167499
161	0.1922895586
162	0.1918186748
163	0.1912632438
164	0.1908215957
165	0.19011948
166	0.1897863661
167	0.1890896977
168	0.188646238
169	0.1882430459
170	0.187715943
171	0.1875289403
172	0.1872290068
173	0.1867871637
174	0.1864783505
175	0.1860266741
176	0.1852213099
177	0.1847697592
178	0.1836463356
179	0.1830207399
180	0.1827036041
181	0.1821648415
182	0.1815199797
183	0.1810884657
184	0.1805211423
185	0.1800541708
186	0.1793365011
187	0.178809253
188	0.178615211
189	0.1781908999
190	0.1776192546
191	0.1772421689
192	0.1767115038
193	0.1763210004
194	0.1758082757
195	0.1755103838
196	0.1752144094
197	0.17460024
198	0.1743487052
199	0.1741108998
200	0.1737078783
201	0.173664393
202	0.1730462512
203	0.1725941637
204	0.1718902819
205	0.1718466938
206	0.1717401291
207	0.1714504475
208	0.1711252732
209	0.1705423436
210	0.1701886416
211	0.169647711
212	0.1692513552
213	0.1688229917
214	0.1686880676
215	0.1681332943
216	0.1680293943
217	0.1676251865
218	0.1669104544
219	0.1664204189
220	0.1658989192
221	0.1657447571
222	0.1654437715
223	0.1652500947
224	0.1649369089
225	0.1643997479
226	0.1639558683
227	0.1634118257
228	0.1627435663
229	0.162505909
230	0.1621937878
231	0.1619377855
232	0.1616628855
233	0.1612728088
234	0.1609992814
235	0.1607497348
236	0.1603113165
237	0.1600240388
238	0.1593358551
239	0.158802895
240	0.1584288497
241	0.1582806459
242	0.1579140641
243	0.1575353871
244	0.1569666016
245	0.1567257505
246	0.1565475921
247	0.1563022027
248	0.1560136615
249	0.1558062266
250	0.155372293
251	0.1551453798
252	0.1548910447
253	0.1544788343
254	0.1541523129
255	0.1539969892
256	0.1536624681
257	0.1535874815
258	0.1528952737
259	0.1527524337
260	0.1525446484
261	0.1522046751
262	0.1519623463
263	0.1516584144
264	0.1514167563
265	0.1510604617
266	0.1506540075
267	0.150402238
268	0.1499431033
269	0.1495370264
270	0.1490063458
271	0.1487921139
272	0.1484714995
273	0.1482538021
274	0.1481298917
275	0.147585858
276	0.1475105674
277	0.1472392175
278	0.147106071
279	0.1467365207
280	0.1466465411
281	0.1463075841
282	0.1459369927
283	0.145651579
284	0.1455663925
285	0.1454797089
286	0.1452228739
287	0.1448792663
288	0.1447577414
289	0.1445465456
290	0.1442608422
291	0.1442141196
292	0.1436185934
293	0.1431682461
294	0.1429370733
295	0.1424689352
296	0.1421666381
297	0.1419436196
298	0.1417464397
299	0.1415669803
300	0.1413481216
301	0.1409673209
302	0.1408603696
303	0.1406010544
304	0.1403806896
305	0.1402914892
306	0.1399945448
307	0.1396836593
308	0.1395058218
309	0.1393697314
310	0.1389884014
311	0.1387036156
312	0.1382667223
313	0.1380308147
314	0.1377661838
315	0.1376265663
316	0.1373958385
317	0.1371673472
318	0.1370808637
319	0.1368274458
320	0.1366775094
321	0.1364955194
322	0.1362685173
323	0.1360980653
324	0.1357835807
325	0.135702671
326	0.1355033985
327	0.1353142652
328	0.1351212094
329	0.1348625302
330	0.1345375946
331	0.1343640553
332	0.1339800468
333	0.133761738
334	0.133600269
335	0.133213367
336	0.1329539824
337	0.132857589
338	0.1326421705
339	0.1322856233
340	0.1320398231
341	0.1318650452
342	0.1316830233
343	0.1315329717
344	0.1311701907
345	0.1308428804
346	0.13065253
347	0.1304842858
348	0.1303958706
349	0.1302022241
350	0.1299489416
351	0.1297511376
352	0.1295995547
353	0.1293937949
354	0.1293060293
355	0.1291073085
356	0.1288469722
357	0.1286988648
358	0.1285808085
359	0.1283924191
360	0.1282861393
361	0.1281464772
362	0.1280116474
363	0.1279483173
364	0.1277568966
365	0.1275179964
366	0.1273042497
367	0.1270830006
368	0.1267384753
369	0.1266710058
370	0.1265515737
371	0.1262904054
372	0.1261129218
373	0.1257844882
374	0.1256816715
375	0.1256095072
376	0.1253354563
377	0.1252149358
378	0.1249866441
379	0.1247599514
380	0.1245967229
381	0.1243891292
382	0.1242138081
383	0.1240723716
384	0.12394036
385	0.123805978
386	0.123459887
387	0.1233228305
388	0.1231322754
389	0.1228505372
390	0.1226992646
391	0.1225626368
392	0.1224465627
393	0.122272808
394	0.1221299475
395	0.1219269985
396	0.1218404808
397	0.1215744691
