iter	Passed	Remaining
0	1	1759
1	3	1850
2	5	1850
3	7	1867
4	8	1862
5	10	1863
6	12	1890
7	14	1889
8	16	1890
9	18	1888
10	19	1872
11	21	1863
12	23	1886
13	25	1884
14	26	1870
15	28	1866
16	30	1873
17	32	1876
18	34	1867
19	35	1859
20	37	1851
21	39	1863
22	41	1865
23	43	1857
24	44	1857
25	46	1853
26	48	1853
27	50	1848
28	52	1846
29	53	1844
30	55	1851
31	57	1848
32	59	1844
33	61	1844
34	63	1844
35	65	1851
36	66	1847
37	68	1847
38	70	1843
39	72	1842
40	74	1839
41	75	1837
42	77	1836
43	79	1832
44	81	1844
45	83	1841
46	85	1839
47	87	1838
48	89	1835
49	90	1832
50	92	1831
51	94	1838
52	130	2480
53	132	2473
54	135	2469
55	143	2575
56	148	2603
57	151	2622
58	154	2612
59	156	2605
60	158	2595
61	160	2583
62	162	2572
63	166	2582
64	168	2573
65	170	2570
66	172	2561
67	175	2555
68	177	2548
69	180	2545
70	182	2538
71	184	2531
72	187	2526
73	189	2522
74	191	2518
75	194	2512
76	196	2507
77	199	2504
78	201	2498
79	204	2500
80	206	2497
81	209	2494
82	211	2490
83	214	2487
84	216	2486
85	219	2485
86	222	2481
87	224	2479
88	227	2477
89	229	2474
90	232	2473
91	235	2470
92	237	2467
93	239	2463
94	242	2458
95	244	2455
96	247	2454
97	250	2453
98	252	2450
99	255	2445
100	257	2441
101	259	2437
102	262	2432
103	264	2427
104	266	2424
105	269	2420
106	271	2414
107	273	2409
108	276	2405
109	278	2401
110	280	2398
111	283	2393
112	285	2389
113	287	2387
114	290	2383
115	292	2380
116	295	2378
117	297	2374
118	300	2371
119	302	2365
120	304	2362
121	306	2357
122	309	2353
123	311	2349
124	313	2343
125	315	2338
126	318	2334
127	320	2330
128	322	2325
129	324	2320
130	326	2313
131	328	2308
132	330	2303
133	333	2299
134	335	2294
135	337	2288
136	339	2283
137	341	2278
138	343	2272
139	345	2267
140	347	2261
141	349	2256
142	351	2251
143	353	2245
144	355	2241
145	357	2237
146	359	2232
147	361	2228
148	363	2222
149	365	2216
150	368	2213
151	369	2207
152	371	2201
153	373	2196
154	375	2191
155	377	2186
156	379	2182
157	381	2177
158	383	2172
159	385	2166
160	387	2163
161	390	2161
162	392	2160
163	395	2157
164	397	2153
165	399	2149
166	401	2145
167	403	2140
168	405	2137
169	408	2134
170	410	2129
171	412	2125
172	414	2120
173	416	2116
174	418	2112
175	420	2107
176	422	2104
177	424	2099
178	426	2095
179	428	2091
180	430	2087
181	432	2083
182	434	2079
183	436	2075
184	438	2071
185	440	2067
186	442	2064
187	444	2059
188	446	2056
189	448	2052
190	450	2048
191	452	2044
192	455	2042
193	457	2038
194	459	2035
195	461	2031
196	463	2027
197	465	2023
198	467	2019
199	469	2015
200	472	2015
201	473	2010
202	475	2006
203	477	2001
204	479	1997
205	481	1992
206	483	1989
207	485	1984
208	487	1980
209	488	1976
210	490	1971
211	492	1967
212	494	1962
213	495	1958
214	497	1953
215	499	1949
216	501	1945
217	503	1941
218	505	1938
219	507	1934
220	508	1929
221	510	1925
222	512	1922
223	514	1919
224	516	1915
225	518	1912
226	521	1909
227	522	1905
228	524	1902
229	526	1898
230	529	1897
231	531	1893
232	532	1889
233	534	1884
234	536	1881
235	538	1876
236	539	1872
237	541	1869
238	543	1866
239	545	1862
240	547	1858
241	549	1855
242	551	1851
243	553	1848
244	555	1844
245	556	1840
246	558	1836
247	560	1833
248	562	1829
249	564	1825
250	566	1822
251	567	1818
252	569	1814
253	571	1810
254	573	1807
255	575	1804
256	577	1800
257	578	1797
258	580	1793
259	582	1790
260	584	1786
261	586	1783
262	588	1780
263	590	1777
264	591	1773
265	593	1769
266	595	1766
267	597	1762
268	599	1759
269	601	1756
270	603	1754
271	605	1752
272	607	1749
273	609	1746
274	611	1744
275	613	1741
276	615	1738
277	617	1735
278	619	1732
279	621	1728
280	623	1727
281	625	1724
282	628	1722
283	629	1718
284	631	1715
285	633	1712
286	635	1709
287	637	1706
288	639	1702
289	640	1699
290	642	1696
291	644	1692
292	646	1689
293	648	1686
294	650	1683
295	652	1680
296	653	1677
297	656	1675
298	658	1673
299	660	1670
300	662	1667
301	664	1665
302	666	1662
303	668	1659
304	669	1655
305	671	1652
306	673	1650
307	675	1647
308	678	1645
309	680	1643
310	682	1641
311	684	1638
312	686	1636
313	688	1633
314	690	1630
315	692	1627
316	693	1624
317	695	1621
318	697	1618
319	699	1615
320	701	1612
321	703	1610
322	705	1608
323	708	1606
324	710	1603
325	712	1601
326	713	1598
327	715	1595
328	717	1591
329	719	1588
330	721	1585
331	722	1582
332	724	1579
333	726	1576
334	728	1573
335	730	1571
336	732	1568
337	733	1565
338	735	1562
339	737	1560
340	739	1557
341	741	1554
342	743	1552
343	745	1549
344	747	1547
345	749	1544
346	751	1541
347	753	1539
348	755	1536
349	757	1533
350	758	1530
351	761	1528
352	763	1526
353	765	1523
354	767	1521
355	769	1518
356	771	1516
357	772	1513
358	774	1510
359	776	1507
360	778	1504
361	780	1501
362	781	1499
363	783	1496
364	785	1493
365	787	1491
366	789	1489
367	791	1486
368	793	1484
369	796	1483
370	798	1480
371	800	1478
372	802	1475
373	804	1472
374	806	1470
375	807	1467
376	809	1465
377	812	1463
378	813	1460
379	815	1457
380	817	1455
381	820	1453
382	822	1451
383	824	1448
384	825	1445
385	827	1443
386	829	1440
387	831	1437
388	833	1435
389	835	1432
390	837	1430
391	838	1427
392	840	1424
393	842	1422
394	844	1420
395	847	1418
396	849	1416
397	851	1413
398	853	1411
399	854	1408
400	856	1405
401	858	1403
402	861	1401
403	862	1398
404	864	1396
405	866	1393
406	868	1391
407	870	1389
408	873	1387
409	875	1385
410	877	1383
411	879	1381
412	881	1379
413	883	1377
414	886	1375
415	888	1372
416	890	1370
417	891	1367
418	894	1365
419	895	1363
420	897	1360
421	899	1357
422	901	1355
423	903	1353
424	905	1350
425	907	1348
426	909	1346
427	911	1344
428	913	1341
429	915	1339
430	917	1336
431	919	1334
432	920	1331
433	922	1328
434	924	1326
435	926	1324
436	928	1321
437	930	1319
438	932	1317
439	935	1315
440	937	1313
441	938	1310
442	940	1308
443	942	1305
444	944	1303
445	946	1300
446	948	1297
447	949	1295
448	952	1293
449	954	1291
450	956	1288
451	958	1287
452	960	1284
453	962	1283
454	964	1280
455	966	1278
456	968	1276
457	970	1274
458	972	1271
459	974	1269
460	976	1266
461	978	1264
462	980	1261
463	981	1259
464	983	1256
465	985	1254
466	987	1252
467	989	1250
468	992	1248
469	994	1246
470	996	1243
471	997	1241
472	999	1238
473	1001	1236
474	1003	1233
475	1005	1231
476	1007	1229
477	1009	1227
478	1011	1225
